"","pay","algorithm","sdev","n","s","rep"
"422",33,2,"0.05",5,5,13
"423",33,3,"0.05",5,5,13
"424",34,4,"0.05",5,5,13
"425",34,5,"0.05",5,5,13
"426",10,1,"0.1",5,5,13
"427",33,2,"0.1",5,5,13
"428",34,3,"0.1",5,5,13
"429",34,4,"0.1",5,5,13
"430",34,5,"0.1",5,5,13
"431",12.3006998150224,1,"0.5",5,5,13
"432",33.0000000000001,2,"0.5",5,5,13
"433",34,3,"0.5",5,5,13
"434",34,4,"0.5",5,5,13
"435",34,5,"0.5",5,5,13
"436",30.2783679165516,1,"1",5,5,13
"437",33.0036900889069,2,"1",5,5,13
"438",33.0036900889069,3,"1",5,5,13
"439",34,4,"1",5,5,13
"440",34,5,"1",5,5,13
"441",26.5187173641519,1,"2",5,5,13
"442",34.7261416543717,2,"2",5,5,13
"443",34.7261416543717,3,"2",5,5,13
"444",34.7261416543717,4,"2",5,5,13
"445",34.7261416543717,5,"2",5,5,13
"446",41.879874963916,1,"5",5,5,13
"447",42.6906195074119,2,"5",5,5,13
"448",42.6906195074119,3,"5",5,5,13
"449",42.6906195074119,4,"5",5,5,13
"450",42.6906195074119,5,"5",5,5,13
"451",47.0010250060525,1,"10",5,5,13
"452",47.0010250060525,2,"10",5,5,13
"453",47.0010250060525,3,"10",5,5,13
"454",47.0010250060525,4,"10",5,5,13
"455",47.0010250060525,5,"10",5,5,13
"456",15,1,"0.05",5,5,14
"457",46,2,"0.05",5,5,14
"458",48,3,"0.05",5,5,14
"459",48,4,"0.05",5,5,14
"460",48,5,"0.05",5,5,14
"461",15,1,"0.1",5,5,14
"462",46,2,"0.1",5,5,14
"463",48,3,"0.1",5,5,14
"464",48,4,"0.1",5,5,14
"465",48,5,"0.1",5,5,14
"466",15.1353352832366,1,"0.5",5,5,14
"467",46.0010063878837,2,"0.5",5,5,14
"468",48,3,"0.5",5,5,14
"469",48,4,"0.5",5,5,14
"470",48,5,"0.5",5,5,14
"471",17.5713703814956,1,"1",5,5,14
"472",46.4060058497098,2,"1",5,5,14
"473",48,3,"1",5,5,14
"474",48,4,"1",5,5,14
"475",48,5,"1",5,5,14
"476",42.5567358331032,1,"2",5,5,14
"477",47.8195919791379,2,"2",5,5,14
"478",48.5299876103384,3,"2",5,5,14
"479",48.5299876103384,4,"2",5,5,14
"480",48.5299876103384,5,"2",5,5,14
"481",50.1547923132793,1,"5",5,5,14
"482",50.1547923132793,2,"5",5,5,14
"483",50.1547923132793,3,"5",5,5,14
"484",50.1547923132793,4,"5",5,5,14
"485",50.1547923132793,5,"5",5,5,14
"486",51.5247681593621,1,"10",5,5,14
"487",51.5247681593621,2,"10",5,5,14
"488",51.5247681593621,3,"10",5,5,14
"489",51.5247681593621,4,"10",5,5,14
"490",51.5247681593621,5,"10",5,5,14
"491",24,1,"0.05",5,5,15
"492",60,2,"0.05",5,5,15
"493",60,3,"0.05",5,5,15
"494",60,4,"0.05",5,5,15
"495",60,5,"0.05",5,5,15
"496",24,1,"0.1",5,5,15
"497",60,2,"0.1",5,5,15
"498",60,3,"0.1",5,5,15
"499",60,4,"0.1",5,5,15
"500",60,5,"0.1",5,5,15
"501",27.9267360048592,1,"0.5",5,5,15
"502",60,2,"0.5",5,5,15
"503",60,3,"0.5",5,5,15
"504",60,4,"0.5",5,5,15
"505",60,5,"0.5",5,5,15
"506",42.4125098276243,1,"1",5,5,15
"507",60,2,"1",5,5,15
"508",60,3,"1",5,5,15
"509",60,4,"1",5,5,15
"510",60,5,"1",5,5,15
"511",55.1943776264919,1,"2",5,5,15
"512",60,2,"2",5,5,15
"513",60,3,"2",5,5,15
"514",60,4,"2",5,5,15
"515",60,5,"2",5,5,15
"516",77.0434067953532,1,"5",5,5,15
"517",77.0434067953532,2,"5",5,5,15
"518",77.0434067953532,3,"5",5,5,15
